Symbol,Side,Qty,Fill Price,Commission,Closing Time,Status
AMZN,Buy,75,194.87,0.38,2025-03-06T18:22:00.000Z,Filled
AMZN,Sell,150,194.07,0.75,2025-03-06T19:22:00.000Z,Filled
META,Buy,15,524.28,0.25,2025-03-07T18:29:00.000Z,Filled
META,Buy,15,525.59,0.25,2025-03-07T18:29:36.000Z,Filled
META,Sell,15,528.53,0.25,2025-03-07T18:30:48.000Z,Filled
META,Sell,15,530.82,0.25,2025-03-07T18:32:00.000Z,Filled
SPY,Sell,60,517.42,0.3,2025-03-07T18:35:00.000Z,Filled
SPY,Buy,30,515.84,0.25,2025-03-07T18:39:48.000Z,Filled
SPY,Buy,30,515,0.25,2025-03-07T18:43:00.000Z,Filled
ETHUSDT,Buy,3,3085.91,0.03,2025-03-09T12:40:00.000Z,Filled
ETHUSDT,Sell,3,3085.93,0.03,2025-03-09T13:15:00.000Z,Filled
TSLA,Buy,120,264.13,0.6,2025-03-10T14:55:00.000Z,Filled
TSLA,Sell,120,268,0.6,2025-03-10T15:03:00.000Z,Filled
AMD,Buy,100,136.73,0.5,2025-03-10T17:19:00.000Z,Filled
AMD,Sell,100,136.39,0.5,2025-03-10T17:27:00.000Z,Filled
BTCUSDT,Buy,0.1,87592.34,1.31,2025-03-11T04:42:00.000Z,Filled
BTCUSDT,Buy,0.1,87849.19,1.31,2025-03-11T04:49:00.000Z,Filled
BTCUSDT,Sell,0.2,88876.58,2.63,2025-03-11T05:17:00.000Z,Filled
QQQ,Sell,30,456.24,0.25,2025-03-11T15:14:00.000Z,Filled
QQQ,Sell,30,455.07,0.25,2025-03-11T15:17:00.000Z,Filled
QQQ,Buy,30,452.42,0.25,2025-03-11T15:23:00.000Z,Filled
QQQ,Buy,30,450.37,0.25,2025-03-11T15:29:00.000Z,Filled
MSFT,Buy,25,409.77,0.25,2025-03-11T16:36:00.000Z,Filled
MSFT,Sell,25,414,0.25,2025-03-11T18:56:00.000Z,Filled
BTCUSDT,Buy,0.2,86473,0.002,2025-03-12T01:59:00.000Z,Filled
BTCUSDT,Sell,0.2,86473.02,0.002,2025-03-12T02:07:00.000Z,Filled
QQQ,Buy,60,468.59,0.3,2025-03-12T16:13:00.000Z,Filled
AMZN,Buy,100,188.96,0.5,2025-03-12T18:07:00.000Z,Filled
AMZN,Sell,100,191.36,0.5,2025-03-12T18:22:00.000Z,Filled
QQQ,Sell,60,473.3,0.3,2025-03-12T18:33:00.000Z,Filled
BTCUSDT,Buy,0.2,88880.96,2.67,2025-03-13T05:25:00.000Z,Filled
BTCUSDT,Sell,0.1,89068.22,1.33,2025-03-13T05:34:00.000Z,Filled
BTCUSDT,Sell,0.1,89169.05,1.33,2025-03-13T05:40:00.000Z,Filled
AMZN,Buy,100,184.51,0.5,2025-03-13T14:17:00.000Z,Filled
AMZN,Sell,100,185.37,0.5,2025-03-13T14:25:00.000Z,Filled
IWM,Sell,160,198.31,0.8,2025-03-14T16:19:00.000Z,Filled
IWM,Buy,160,200.05,0.8,2025-03-14T16:22:00.000Z,Filled
MSFT,Buy,100,411.99,0.5,2025-03-14T17:30:00.000Z,Filled
MSFT,Sell,100,410.8,0.5,2025-03-14T17:45:00.000Z,Filled
ETHUSDT,Sell,2,3001.47,0.9,2025-03-15T06:11:00.000Z,Filled
ETHUSDT,Buy,1,2969.35,0.45,2025-03-15T06:20:00.000Z,Filled
ETHUSDT,Buy,1,2952.06,0.45,2025-03-15T06:26:00.000Z,Filled
NVDA,Buy,60,121.13,0.3,2025-03-17T14:29:00.000Z,Filled
TSLA,Buy,60,254.64,0.3,2025-03-17T16:48:00.000Z,Filled
NVDA,Sell,60,122.74,0.3,2025-03-17T16:49:00.000Z,Filled
TSLA,Buy,60,254.42,0.3,2025-03-17T16:51:00.000Z,Filled
TSLA,Sell,120,253.56,0.6,2025-03-17T17:03:00.000Z,Filled
ETHUSDT,Buy,1,3015.84,0.01,2025-03-18T15:09:00.000Z,Filled
ETHUSDT,Sell,1,3015.86,0.01,2025-03-18T15:44:00.000Z,Filled
IWM,Buy,120,206.77,0.6,2025-03-18T17:17:00.000Z,Filled
MSFT,Sell,50,386.21,0.25,2025-03-20T13:59:00.000Z,Filled
MSFT,Buy,25,387.68,0.25,2025-03-20T14:00:48.000Z,Filled
MSFT,Buy,25,388.47,0.25,2025-03-20T14:02:00.000Z,Filled
AAPL,Sell,50,197.98,0.25,2025-03-20T17:55:00.000Z,Filled
AAPL,Sell,50,197.57,0.25,2025-03-20T17:58:00.000Z,Filled
AAPL,Buy,100,195.93,0.5,2025-03-20T18:10:00.000Z,Filled
ETHUSDT,Buy,3,2920.89,1.31,2025-03-21T14:19:00.000Z,Filled
ETHUSDT,Sell,1.5,2911.61,0.66,2025-03-21T14:23:48.000Z,Filled
ETHUSDT,Sell,1.5,2906.61,0.66,2025-03-21T14:27:00.000Z,Filled
META,Buy,60,536.83,0.3,2025-03-21T17:51:00.000Z,Filled
META,Sell,60,544.32,0.3,2025-03-21T17:59:00.000Z,Filled
AAPL,Buy,200,200.58,1,2025-03-21T18:03:00.000Z,Filled
BTCUSDT,Buy,0.15,82956.68,1.87,2025-03-22T10:17:00.000Z,Filled
ETHUSDT,Buy,4,2952.48,1.77,2025-03-23T18:46:00.000Z,Filled
ETHUSDT,Sell,4,2992.33,1.77,2025-03-23T18:49:00.000Z,Filled
IWM,Sell,120,204.95,0.6,2025-03-24T14:46:00.000Z,Filled
AAPL,Sell,200,201.84,1,2025-03-24T15:07:00.000Z,Filled
QQQ,Buy,40,480.34,0.25,2025-03-24T17:34:00.000Z,Filled
QQQ,Sell,40,483.44,0.25,2025-03-24T18:49:00.000Z,Filled
AMD,Buy,200,139.62,1,2025-03-25T18:03:00.000Z,Filled
NVDA,Buy,120,117.85,0.6,2025-03-26T13:45:00.000Z,Filled
NVDA,Sell,60,118.29,0.3,2025-03-26T13:54:00.000Z,Filled
NVDA,Sell,60,118.53,0.3,2025-03-26T14:00:00.000Z,Filled
MSFT,Buy,25,395.36,0.25,2025-03-26T14:53:00.000Z,Filled
MSFT,Buy,25,395.76,0.25,2025-03-26T15:21:00.000Z,Filled
MSFT,Sell,25,396.67,0.25,2025-03-26T16:17:00.000Z,Filled
MSFT,Sell,25,397.37,0.25,2025-03-26T17:13:00.000Z,Filled
SOLUSDT,Sell,60,148.31,1.33,2025-03-27T00:59:00.000Z,Filled
SOLUSDT,Buy,60,147.61,1.33,2025-03-27T01:02:00.000Z,Filled
ETHUSDT,Sell,4,2975.71,1.79,2025-03-27T01:28:00.000Z,Filled
ETHUSDT,Buy,4,2987.87,1.79,2025-03-27T02:43:00.000Z,Filled
META,Sell,45,527.01,0.25,2025-03-27T17:24:00.000Z,Filled
META,Buy,45,518.42,0.25,2025-03-27T18:39:00.000Z,Filled
AAPL,Buy,25,200.28,0.25,2025-03-28T18:08:00.000Z,Filled
AAPL,Buy,25,200.83,0.25,2025-03-28T18:29:24.000Z,Filled
AAPL,Sell,25,202.05,0.25,2025-03-28T19:12:12.000Z,Filled
AAPL,Sell,25,203.01,0.25,2025-03-28T19:55:00.000Z,Filled
SOLUSDT,Sell,45,153.51,1.04,2025-03-30T08:23:00.000Z,Filled
BTCUSDT,Sell,0.15,83624.87,1.87,2025-03-30T10:17:00.000Z,Filled
AMD,Sell,200,141.73,1,2025-03-31T15:16:00.000Z,Filled
QQQ,Buy,20,469.33,0.25,2025-03-31T16:11:00.000Z,Filled
QQQ,Buy,20,468.76,0.25,2025-03-31T16:26:00.000Z,Filled
AMD,Buy,100,145.36,0.5,2025-03-31T16:57:00.000Z,Filled
QQQ,Sell,40,466.49,0.25,2025-03-31T17:26:00.000Z,Filled
AMZN,Sell,25,196.06,0.25,2025-03-31T17:45:00.000Z,Filled
AMZN,Sell,25,196.28,0.25,2025-03-31T17:52:00.000Z,Filled
AMZN,Buy,50,197.18,0.25,2025-03-31T18:20:00.000Z,Filled
SOLUSDT,Buy,45,154.18,1.04,2025-04-01T08:23:00.000Z,Filled
MSFT,Buy,100,405.16,0.5,2025-04-01T15:28:00.000Z,Filled
ETHUSDT,Buy,1,3054.74,0.46,2025-04-02T10:30:00.000Z,Filled
ETHUSDT,Sell,1,3070.9,0.46,2025-04-02T10:38:00.000Z,Filled
AMD,Sell,100,146.53,0.5,2025-04-02T15:34:00.000Z,Filled
META,Sell,45,529.36,0.25,2025-04-02T15:39:00.000Z,Filled
META,Buy,45,531.09,0.25,2025-04-02T16:54:00.000Z,Filled
MSFT,Sell,100,408.46,0.5,2025-04-03T14:15:00.000Z,Filled
AMD,Buy,50,142.03,0.25,2025-04-03T16:40:00.000Z,Filled
AMD,Buy,50,142.49,0.25,2025-04-03T16:43:00.000Z,Filled
AMD,Sell,50,143.53,0.25,2025-04-03T16:49:00.000Z,Filled
AMD,Sell,50,144.34,0.25,2025-04-03T16:55:00.000Z,Filled
AAPL,Buy,200,203.55,1,2025-04-04T17:30:00.000Z,Filled
AAPL,Sell,100,203.95,0.5,2025-04-04T17:39:00.000Z,Filled
AAPL,Sell,100,204.17,0.5,2025-04-04T17:45:00.000Z,Filled
NVDA,Sell,90,126.28,0.45,2025-04-04T17:57:00.000Z,Filled
NVDA,Sell,90,125.96,0.45,2025-04-04T18:20:36.000Z,Filled
NVDA,Buy,180,124.68,0.9,2025-04-04T19:55:00.000Z,Filled
BTCUSDT,Sell,0.1,87482.96,1.31,2025-04-05T04:17:00.000Z,Filled
BTCUSDT,Buy,0.1,88304.14,1.31,2025-04-07T04:17:00.000Z,Filled
SPY,Buy,10,541.56,0.25,2025-04-07T14:31:00.000Z,Filled
SPY,Buy,10,540.57,0.25,2025-04-07T14:38:00.000Z,Filled
SPY,Sell,20,536.61,0.25,2025-04-07T15:06:00.000Z,Filled
META,Buy,15,543.51,0.25,2025-04-09T13:59:00.000Z,Filled
META,Sell,15,537.78,0.25,2025-04-09T14:34:00.000Z,Filled
IWM,Sell,40,198.53,0.25,2025-04-09T16:36:00.000Z,Filled
IWM,Sell,40,198.05,0.25,2025-04-09T16:43:00.000Z,Filled
TSLA,Sell,30,265.05,0.25,2025-04-09T16:52:00.000Z,Filled
IWM,Buy,40,196.98,0.25,2025-04-09T16:57:00.000Z,Filled
IWM,Buy,40,196.15,0.25,2025-04-09T17:11:00.000Z,Filled
TSLA,Buy,15,266.5,0.25,2025-04-09T17:13:00.000Z,Filled
TSLA,Buy,15,267.28,0.25,2025-04-09T17:27:00.000Z,Filled
SOLUSDT,Buy,15,158.74,0.36,2025-04-10T13:19:00.000Z,Filled
SOLUSDT,Sell,15,161.06,0.36,2025-04-10T13:22:00.000Z,Filled
META,Buy,15,559.64,0.25,2025-04-11T15:00:00.000Z,Filled
AMD,Buy,200,136.47,1,2025-04-11T16:38:00.000Z,Filled
ETHUSDT,Sell,2,3102.54,0.93,2025-04-12T15:07:00.000Z,Filled
ETHUSDT,Buy,2,3088.43,0.93,2025-04-12T15:42:00.000Z,Filled
BTCUSDT,Buy,0.05,89391.31,0.67,2025-04-14T13:17:00.000Z,Filled
BTCUSDT,Sell,0.05,89074.39,0.67,2025-04-14T13:52:00.000Z,Filled
SPY,Buy,20,523.74,0.25,2025-04-14T14:44:00.000Z,Filled
META,Sell,15,555.53,0.25,2025-04-14T15:25:00.000Z,Filled
AMD,Sell,200,137.96,1,2025-04-14T15:26:00.000Z,Filled
NVDA,Buy,240,125.44,1.2,2025-04-15T18:13:00.000Z,Filled
NVDA,Sell,240,125.08,1.2,2025-04-15T18:48:00.000Z,Filled
IWM,Buy,60,201.1,0.3,2025-04-16T13:50:00.000Z,Filled
IWM,Buy,60,201,0.3,2025-04-16T14:18:00.000Z,Filled
NVDA,Buy,120,125.46,0.6,2025-04-16T14:58:00.000Z,Filled
NVDA,Buy,120,125.19,0.6,2025-04-16T15:01:00.000Z,Filled
NVDA,Sell,120,124.59,0.6,2025-04-16T15:07:00.000Z,Filled
NVDA,Sell,120,124.13,0.6,2025-04-16T15:13:00.000Z,Filled
IWM,Sell,120,200.58,0.6,2025-04-16T16:10:00.000Z,Filled
AMZN,Sell,150,193.38,0.75,2025-04-16T17:51:00.000Z,Filled
AMZN,Buy,150,194.94,0.75,2025-04-16T17:54:00.000Z,Filled
IWM,Buy,80,202.28,0.4,2025-04-16T17:58:00.000Z,Filled
IWM,Sell,40,203.44,0.25,2025-04-16T18:43:00.000Z,Filled
IWM,Sell,40,204.06,0.25,2025-04-16T19:13:00.000Z,Filled
SPY,Sell,20,527.46,0.25,2025-04-17T15:56:00.000Z,Filled
ETHUSDT,Buy,1,3077.25,0.46,2025-04-20T05:15:00.000Z,Filled
ETHUSDT,Sell,1,3070.38,0.46,2025-04-20T05:50:00.000Z,Filled
BTCUSDT,Buy,0.2,87198.16,2.62,2025-04-21T07:21:00.000Z,Filled
BTCUSDT,Sell,0.2,88143.98,2.62,2025-04-21T09:41:00.000Z,Filled
AMD,Buy,25,145.37,0.25,2025-04-21T14:55:00.000Z,Filled
AMD,Buy,25,145.48,0.25,2025-04-21T14:56:36.000Z,Filled
AMD,Sell,50,145.9,0.25,2025-04-21T15:03:00.000Z,Filled
NVDA,Buy,30,124.37,0.25,2025-04-21T17:00:00.000Z,Filled
NVDA,Buy,30,124.78,0.25,2025-04-21T17:03:00.000Z,Filled
NVDA,Sell,60,126.4,0.3,2025-04-21T17:15:00.000Z,Filled
BTCUSDT,Buy,0.1,89626.58,1.34,2025-04-22T05:34:00.000Z,Filled
BTCUSDT,Buy,0.1,89449.19,1.34,2025-04-22T05:49:00.000Z,Filled
BTCUSDT,Sell,0.1,89050.07,1.34,2025-04-22T06:19:00.000Z,Filled
BTCUSDT,Sell,0.1,88739.64,1.34,2025-04-22T06:49:00.000Z,Filled
QQQ,Buy,60,473.3,0.3,2025-04-22T15:24:00.000Z,Filled
QQQ,Sell,60,479.76,0.3,2025-04-22T15:39:00.000Z,Filled
ETHUSDT,Sell,1.5,2972.75,0.67,2025-04-23T06:18:00.000Z,Filled
ETHUSDT,Sell,1.5,2965.7,0.67,2025-04-23T06:21:00.000Z,Filled
ETHUSDT,Buy,3,2937.48,1.34,2025-04-23T06:33:00.000Z,Filled
IWM,Buy,160,202.72,1.6,2025-04-23T17:38:00.000Z,Filled
IWM,Sell,160,202.74,1.6,2025-04-23T17:41:00.000Z,Filled
QQQ,Sell,60,460.57,0.3,2025-04-25T17:56:00.000Z,Filled
QQQ,Buy,60,453.36,0.3,2025-04-25T18:11:00.000Z,Filled
BTCUSDT,Buy,0.2,84816.03,2.54,2025-04-26T12:01:00.000Z,Filled
BTCUSDT,Sell,0.2,84103.31,2.54,2025-04-26T12:04:00.000Z,Filled
BTCUSDT,Buy,0.05,90302.8,0.68,2025-04-27T17:15:00.000Z,Filled
BTCUSDT,Sell,0.05,90038.17,0.68,2025-04-27T17:18:00.000Z,Filled
SOLUSDT,Sell,45,161.76,1.09,2025-04-29T10:28:00.000Z,Filled
SOLUSDT,Buy,45,162.33,1.09,2025-04-29T10:36:00.000Z,Filled
ETHUSDT,Sell,4,3015.31,1.81,2025-04-29T13:19:00.000Z,Filled
ETHUSDT,Buy,4,2997.65,1.81,2025-04-29T13:27:00.000Z,Filled
AMD,Buy,100,147.29,0.5,2025-04-29T13:43:00.000Z,Filled
AMD,Sell,100,145.71,0.5,2025-04-29T13:46:00.000Z,Filled
QQQ,Buy,20,465.42,0.25,2025-04-29T17:31:00.000Z,Filled
AMZN,Buy,100,189.99,0.5,2025-04-30T13:50:00.000Z,Filled
AMZN,Buy,100,190.23,0.5,2025-04-30T14:05:00.000Z,Filled
AMZN,Sell,100,190.78,0.5,2025-04-30T14:35:00.000Z,Filled
AMZN,Sell,100,191.2,0.5,2025-04-30T15:05:00.000Z,Filled
QQQ,Sell,20,467.34,0.25,2025-04-30T15:07:00.000Z,Filled
NVDA,Buy,30,124.87,0.25,2025-04-30T16:32:00.000Z,Filled
NVDA,Buy,30,125.01,0.25,2025-04-30T16:47:00.000Z,Filled
NVDA,Sell,30,125.32,0.25,2025-04-30T17:17:00.000Z,Filled
NVDA,Sell,30,125.56,0.25,2025-04-30T17:47:00.000Z,Filled
SOLUSDT,Buy,15,154.66,0.35,2025-05-01T11:02:00.000Z,Filled
QQQ,Sell,40,465.98,0.25,2025-05-01T14:13:00.000Z,Filled
QQQ,Sell,40,464.84,0.25,2025-05-01T14:16:00.000Z,Filled
QQQ,Buy,40,462.27,0.25,2025-05-01T14:22:00.000Z,Filled
QQQ,Buy,40,460.27,0.25,2025-05-01T14:28:00.000Z,Filled
QQQ,Buy,20,487.17,0.25,2025-05-01T16:32:00.000Z,Filled
QQQ,Sell,10,486.32,0.25,2025-05-01T16:36:48.000Z,Filled
QQQ,Sell,10,485.86,0.25,2025-05-01T16:40:00.000Z,Filled
AAPL,Buy,150,205.07,0.75,2025-05-01T18:07:00.000Z,Filled
AAPL,Sell,150,203.58,0.75,2025-05-01T18:42:00.000Z,Filled
ETHUSDT,Buy,4,3028.16,1.82,2025-05-02T08:09:00.000Z,Filled
ETHUSDT,Sell,4,3005.93,1.82,2025-05-02T08:12:00.000Z,Filled
BTCUSDT,Buy,0.05,86221.43,0.65,2025-05-02T12:23:00.000Z,Filled
BTCUSDT,Sell,0.025,86031.58,0.32,2025-05-02T12:27:48.000Z,Filled
BTCUSDT,Sell,0.025,85929.36,0.32,2025-05-02T12:31:00.000Z,Filled
MSFT,Buy,50,401.23,0.25,2025-05-02T17:26:00.000Z,Filled
MSFT,Sell,25,402.45,0.25,2025-05-02T18:11:00.000Z,Filled
MSFT,Sell,25,403.11,0.25,2025-05-02T18:41:00.000Z,Filled
AMD,Sell,25,147.1,0.25,2025-05-05T17:21:00.000Z,Filled
AMD,Sell,25,147.34,0.25,2025-05-05T17:21:36.000Z,Filled
AMD,Buy,50,148.32,0.25,2025-05-05T17:24:00.000Z,Filled
META,Sell,60,569.04,0.3,2025-05-05T17:55:00.000Z,Filled
META,Buy,60,571.09,0.3,2025-05-05T19:55:00.000Z,Filled
SOLUSDT,Sell,15,153.17,0.35,2025-05-06T11:02:00.000Z,Filled
META,Buy,7.5,555.28,0.25,2025-05-06T14:51:00.000Z,Filled
META,Buy,7.5,555.9,0.25,2025-05-06T14:58:00.000Z,Filled
META,Sell,15,558.4,0.25,2025-05-06T15:26:00.000Z,Filled
AMD,Sell,25,139.26,0.25,2025-05-06T18:18:00.000Z,Filled
AMD,Sell,25,138.84,0.25,2025-05-06T18:33:00.000Z,Filled
AMD,Buy,50,137.16,0.25,2025-05-06T19:33:00.000Z,Filled
QQQ,Buy,20,467.92,0.25,2025-05-07T15:04:00.000Z,Filled
QQQ,Buy,20,468.55,0.25,2025-05-07T15:05:36.000Z,Filled
QQQ,Sell,40,471.08,0.25,2025-05-07T15:12:00.000Z,Filled
AMZN,Buy,200,193.71,1,2025-05-07T16:42:00.000Z,Filled
AMZN,Sell,200,191.77,1,2025-05-07T16:45:00.000Z,Filled
AAPL,Buy,150,207.01,0.75,2025-05-07T17:00:00.000Z,Filled
AAPL,Sell,150,209.12,0.75,2025-05-07T19:20:00.000Z,Filled
QQQ,Sell,40,463.63,0.25,2025-05-08T14:04:00.000Z,Filled
META,Sell,15,531.15,0.25,2025-05-08T15:43:00.000Z,Filled
META,Buy,15,527.63,0.25,2025-05-08T15:46:00.000Z,Filled
IWM,Buy,80,202,0.4,2025-05-08T16:26:00.000Z,Filled
IWM,Sell,80,201.09,0.4,2025-05-08T16:34:00.000Z,Filled
AMD,Sell,200,140.68,1,2025-05-08T18:09:00.000Z,Filled
AMD,Buy,200,140.06,1,2025-05-08T19:55:00.000Z,Filled
QQQ,Buy,40,466.59,0.25,2025-05-09T14:06:00.000Z,Filled
SPY,Buy,80,522.8,0.4,2025-05-09T15:09:00.000Z,Filled
TSLA,Buy,90,274.57,0.45,2025-05-09T17:27:00.000Z,Filled
SPY,Sell,80,520.57,0.4,2025-05-09T17:29:00.000Z,Filled
TSLA,Sell,45,273.87,0.25,2025-05-09T18:12:00.000Z,Filled
TSLA,Sell,45,273.49,0.25,2025-05-09T18:42:00.000Z,Filled
AMZN,Sell,50,199.72,0.25,2025-05-12T15:18:00.000Z,Filled
AMZN,Buy,25,200.66,0.25,2025-05-12T15:27:00.000Z,Filled
AMZN,Buy,25,201.17,0.25,2025-05-12T15:33:00.000Z,Filled
SPY,Buy,40,527.15,0.25,2025-05-13T13:47:00.000Z,Filled
AMZN,Sell,150,188.65,1.5,2025-05-13T15:02:00.000Z,Filled
AMZN,Buy,150,188.63,1.5,2025-05-13T15:10:00.000Z,Filled
SPY,Sell,40,532.43,0.25,2025-05-13T16:07:00.000Z,Filled
QQQ,Buy,10,457.43,0.25,2025-05-13T17:12:00.000Z,Filled
QQQ,Buy,10,457.2,0.25,2025-05-13T17:40:00.000Z,Filled
TSLA,Buy,30,271.12,0.25,2025-05-13T17:41:00.000Z,Filled
TSLA,Buy,30,270.58,0.25,2025-05-13T17:41:36.000Z,Filled
TSLA,Sell,30,269.38,0.25,2025-05-13T17:42:48.000Z,Filled
TSLA,Sell,30,268.44,0.25,2025-05-13T17:44:00.000Z,Filled
QQQ,Sell,20,456.27,0.25,2025-05-13T19:32:00.000Z,Filled
AAPL,Sell,150,198.31,0.75,2025-05-14T14:33:00.000Z,Filled
AAPL,Buy,75,197.61,0.38,2025-05-14T15:18:00.000Z,Filled
AAPL,Buy,75,197.23,0.38,2025-05-14T15:48:00.000Z,Filled
SPY,Sell,20,550.4,0.25,2025-05-14T16:09:00.000Z,Filled
SPY,Sell,20,549.77,0.25,2025-05-14T16:16:00.000Z,Filled
SPY,Buy,20,548.34,0.25,2025-05-14T16:30:00.000Z,Filled
SPY,Buy,20,547.23,0.25,2025-05-14T16:44:00.000Z,Filled
AMZN,Buy,150,194,0.75,2025-05-15T16:10:00.000Z,Filled
AMZN,Sell,75,193.03,0.38,2025-05-15T17:34:00.000Z,Filled
AMZN,Sell,75,192.51,0.38,2025-05-15T18:30:00.000Z,Filled
ETHUSDT,Sell,3,3151.62,1.42,2025-05-17T18:30:00.000Z,Filled
ETHUSDT,Buy,3,3182.81,1.42,2025-05-17T19:45:00.000Z,Filled
BTCUSDT,Sell,0.15,90017.7,2.03,2025-05-18T16:48:00.000Z,Filled
BTCUSDT,Buy,0.15,89669.52,2.03,2025-05-18T16:56:00.000Z,Filled
AMZN,Sell,25,192.43,0.25,2025-05-20T13:59:00.000Z,Filled
AMZN,Sell,25,192.76,0.25,2025-05-20T13:59:36.000Z,Filled
AMZN,Buy,50,194.1,0.25,2025-05-20T14:02:00.000Z,Filled
NVDA,Sell,120,123.41,0.6,2025-05-20T18:00:00.000Z,Filled
IWM,Buy,80,215.76,0.8,2025-05-20T18:02:00.000Z,Filled
NVDA,Buy,60,124.24,0.3,2025-05-20T18:09:00.000Z,Filled
NVDA,Buy,60,124.69,0.3,2025-05-20T18:15:00.000Z,Filled
IWM,Sell,80,215.78,0.8,2025-05-20T19:55:00.000Z,Filled
BTCUSDT,Sell,0.05,86705.69,0.65,2025-05-21T02:57:00.000Z,Filled
BTCUSDT,Buy,0.05,87563.16,0.65,2025-05-21T03:32:00.000Z,Filled
IWM,Buy,80,211.36,0.8,2025-05-21T15:18:00.000Z,Filled
IWM,Sell,80,211.38,0.8,2025-05-21T15:26:00.000Z,Filled
AMD,Sell,25,139.6,0.25,2025-05-21T16:28:00.000Z,Filled
AMD,Sell,25,139.78,0.25,2025-05-21T16:28:36.000Z,Filled
AMD,Buy,50,140.5,0.25,2025-05-21T16:31:00.000Z,Filled
IWM,Buy,120,200.64,0.6,2025-05-21T17:14:00.000Z,Filled
IWM,Sell,120,201.27,0.6,2025-05-21T17:22:00.000Z,Filled
SOLUSDT,Sell,30,160.18,0.72,2025-05-22T18:28:00.000Z,Filled
SOLUSDT,Sell,30,160.43,0.72,2025-05-22T18:31:00.000Z,Filled
SOLUSDT,Buy,30,161,0.72,2025-05-22T18:37:00.000Z,Filled
SOLUSDT,Buy,30,161.43,0.72,2025-05-22T18:43:00.000Z,Filled
BTCUSDT,Buy,0.2,87500.12,2.63,2025-05-23T08:49:00.000Z,Filled
BTCUSDT,Sell,0.2,86919.1,2.63,2025-05-23T10:04:00.000Z,Filled
META,Buy,30,567.96,0.25,2025-05-23T16:29:00.000Z,Filled
META,Sell,30,565.83,0.25,2025-05-23T16:32:00.000Z,Filled
IWM,Buy,40,204.26,0.25,2025-05-23T16:55:00.000Z,Filled
IWM,Buy,40,204.9,0.25,2025-05-23T17:10:00.000Z,Filled
IWM,Sell,40,206.34,0.25,2025-05-23T17:40:00.000Z,Filled
IWM,Sell,40,207.47,0.25,2025-05-23T18:10:00.000Z,Filled
ETHUSDT,Buy,4,3121.03,0.04,2025-05-25T02:14:00.000Z,Filled
ETHUSDT,Sell,4,3121.05,0.04,2025-05-25T03:29:00.000Z,Filled
AMZN,Sell,200,199.1,1,2025-05-27T16:29:00.000Z,Filled
AMZN,Buy,200,199.82,1,2025-05-27T16:44:00.000Z,Filled
BTCUSDT,Sell,0.05,84790.32,0.64,2025-05-29T10:40:00.000Z,Filled
ETHUSDT,Sell,1,3042.88,0.46,2025-05-30T05:47:00.000Z,Filled
